name,bus,p_mw,vm_pu,sn_mva,min_q_mvar,max_q_mvar,scaling,slack,in_service,zone,slack_weight,min_p_mw,max_p_mw,bus_name,type,controllable,max_vm_pu,min_vm_pu,in_service_old_bess
Brownstown Solar,1589,0,1,,-16.40681492,16.40681492,1,FALSE,TRUE,9,0,0,50,,23,TRUE,1.1,0.9,
Brownstown BESS,1589,0,1,,-16.40681492,16.40681492,1,FALSE,TRUE,9,0,-50,50,,14,TRUE,1.1,0.9,
Kilderry Solar,1589,0,1,,-11.48477044,11.48477044,1,FALSE,TRUE,9,0,0,35,,23,TRUE,1.1,0.9,
Threecastles Solar Farm,1591,0,1,,-4.930261578,4.930261578,1,FALSE,FALSE,11,0,0,15,,23,TRUE,1.1,0.9,
porterstown BESS ph2,1591,0,1,63,-19.72104631,19.72104631,1,FALSE,TRUE,11,0,-60,60,,14,TRUE,1.1,0.9,
Kilnaglory Solar Farm,1593,0,1,,-3.286841052,3.286841052,1,FALSE,FALSE,10,0,0,10,,23,TRUE,1.1,0.9,
Kilmorna BESS,1598,0,1,178.5,-55.87629788,55.87629788,1,FALSE,TRUE,5,0,-170,170,,14,TRUE,1.1,0.9,
 'Ringsend OCGT,1601,75,1,,-98.27654745,98.27654745,1,FALSE,TRUE,11,0,74.75,299,31272,9,TRUE,1.1,0.9,
Harristown Solar PV,1612,0,1,,-13.80473242,13.80473242,1,FALSE,TRUE,11,0,0,42,,23,TRUE,1.1,0.9,
Profile Park Gas,1616,0,1,,-32.86841052,32.86841052,1,FALSE,TRUE,11,0,0,100,,9,TRUE,1.1,0.9,
Kilmannoc Ph2,1627,0,1,94.5,-29.58156947,29.58156947,1,FALSE,TRUE,9,0,-90,90,,14,TRUE,1.1,0.9,
Toolestown Solar,1629,0,1,,-16.43420526,16.4342,1,FALSE,TRUE,11,0,0,50,,23,TRUE,1.1,0.9,
Ballykea Solar Farm,1630,0,1,,-0.328684105,0.328684105,1,FALSE,FALSE,11,0,0,1,,23,TRUE,1.1,0.9,
Rathdrinagh Solar,1631,0,1,,-23.62581348,23.62581348,1,FALSE,TRUE,7,0,0,72,,23,TRUE,1.1,0.9,
Clare East BESS,1655,0,1,73.5,-23.00788736,23.00788736,1,FALSE,TRUE,2,0,-70,70,,14,TRUE,1.1,0.9,
Cush Wind Farm,1659,0,1.05,,-18.93220446,18.93220446,1,FALSE,TRUE,11,0,0,57.6,,17,TRUE,1.1,0.9,
Derrigra Solar,1661,0,1,,-1.643420526,1.643420526,1,FALSE,FALSE,6,0,0,5,,23,TRUE,1.1,0.9,
